編號,2020_營收,2020_淨利,2020_資本支出,2021_營收,2021_淨利,2021_資本支出,公司,行業
2317,"5,358,023,065","145,472,234","34,585,775","5,994,173,882","193,571,743","-92,082,562",鴻海2317,other electronics
2474,"82,506,032","40,847,189","30,958,598","41,094,979","12,070,652","-62,262,816",可成2474,other electronics
2312,"128,219,874","687,759","-3,700,777","139,778,507","909,547","-1,633,134",金寶2312,other electronics
1301,"185,813,405","24,166,667","-3,915,855","273,598,301","85,956,814","-21,820,848",台塑1301,plastics
2105,"96,209,056","8,156,706","-6,371,404","101,536,961","7,156,001","-4,279,095",正新2105,rubber
4938,"1,399,332,906","29,443,283","-22,267,532","1,263,720,182","28,125,842","-45,170,488",和碩4938,computer and peripheral equipment
2382,"1,090,858,851","34,431,799","-21,856,384","1,129,453,350","43,436,274","13,536,143",廣達2382,computer and peripheral equipment
3231,"845,011,844","16,845,375","-16,265,976","862,082,848","19,234,277","-16,597,400",緯創3231,computer and peripheral equipment
2356,"508,294,198","10,345,705","2,809,908","519,732,048","7,699,184","-3,122,727",英業達2356,computer and peripheral equipment
2357,"412,780,439","33,120,038","-4,586,630","535,238,735","59,088,730","-1,783,632",華碩2357,computer and peripheral equipment
2353,"277,112,477","8,905,103","-5,253,537","319,005,456","15,435,645","-20,991",宏碁2353,computer and peripheral equipment
2301,"157,133,623","12,601,921","583,330","164,827,947","17,632,247","-3,103,331",光寶科2301,computer and peripheral equipment
2324,"1,048,929,251","13,122,716","-7,912,429","1,235,682,015","17,467,835","-11,063,115",仁寶2324,computer and peripheral equipment
