公司名稱,股票代碼,產業類別,2020範疇一,2020範疇二,2020範疇三,2021範疇一,2021範疇二,2021範疇三,2020能源使用,2020可再生能源使用,2020不可再生能源使用,2020能源直接使用,2020能源間接使用,2021能源使用,2021可再生能源使用,2021不可再生能源使用,2021能源直接使用,2021能源間接使用,2020用水量(t),2020製程用水回收率(%),2020總結水量(t),2021用水量(t),2021製程用水回收率(%),2021總結水量(t),2020廢棄物產生量,2020一般廢棄物產生量,2020有害廢棄物產生量,2020廢棄物回收率(%),2021廢棄物產生量,2021一般廢棄物產生量,2021有害廢棄物產生量,2021廢棄物回收率(%),2020營收,2020淨利(稅前),2020資本支出,2021營收,2021淨利(稅前),2021資本支出
鴻海,2317,電子通路與零組件業,152602,5265000,24025738,237946,5982836,nan,10383800000,nan,nan,nan,nan,10585800000,nan,nan,nan,nan,86737000,8.10%,本欄先以nan處理,86737000,8.10%,本欄先以nan處理,nan,nan,nan,nan,1001771,470075,453443,nan,"5,358,023,065","145,472,234","34,585,775","5,994,173,882","193,571,743","-92,082,562"
可成,2474,電腦及周邊設備業,8422.931,64399.495,nan,7682.413,63938.736,63.9811,38589650,0,"38,589,650",nan,nan,37999170,0,37999170,nan,nan,1664845,10.40%,本欄先以nan處理,1327796,11.60%,本欄先以nan處理,13657.15,13650.94,6.21,93.76%,11024.11,10976.88,47.23,93.76%,"82,506,032","40,847,189","30,958,598","41,094,979","12,070,652","-62,262,816"
金寶,2312,電子通路與零組件業,5595.69,177025.51,nan,3656.84,22184.34,nan,328229600,nan,nan,nan,nan,54214440000,nan,nan,nan,nan,6897030,nan,本欄先以nan處理,4119620,nan,本欄先以nan處理,57876.87,12493.03,10282.36,nan,56540.98,12493.03,2223.19,nan,"128,219,874","687,759","-3,700,777","139,778,507","909,547","-1,633,134"
台塑,1301,民生工業 - 輕工業,25329780,221111,55545097,3918988,4685085,10445602,82465280000,0,67951390720,nan,nan,91498060000,0,76034887860,nan,nan,189398096.1,nan,本欄先以nan處理,2213182971,nan,本欄先以nan處理,1129663,1129260,403,nan,1217132,1216709,423,95.61%,"185,813,405","24,166,667","-3,915,855","273,598,301","85,956,814","-21,820,848"
正新,2105,民生工業 - 輕工業,55357,473151,nan,55973,419027,nan,1144375000,nan,nan,nan,nan,1090526000,nan,nan,nan,nan,1572125,nan,本欄先以nan處理,1514860,nan,本欄先以nan處理,13964.34,12226.24,500,85.19%,12947.78,11798.31,326.69,92.52%,"96,209,056","8,156,706","-6,371,404","101,536,961","7,156,001","-4,279,095"
和碩,4938,電腦及周邊設備業,32595.1,566482.91,nan,33422.43,480916.86,709.29,705108900,nan,nan,nan,nan,742070600,nan,nan,nan,nan,5592151,nan,本欄先以nan處理,5234887,nan,本欄先以nan處理,66351,2654.04,1460,91.02%,70264,5930.2816,1713,90.17%,"1,399,332,906","29,443,283","-22,267,532","1,263,720,182","28,125,842","-45,170,488"
廣達,2382,電腦及周邊設備業,27675,534457,nan,32425,643263,nan,824053600,nan,nan,nan,nan,906873300,nan,nan,nan,nan,2443051,本欄先以nan處理,本欄先以nan處理,2807330,本欄先以nan處理,本欄先以nan處理,51549.28,3286.876,1470.528,91.12%,58882.41,3770.316,2015.606,90.51%,"1,090,858,851","34,431,799","-21,856,384","1,129,453,350","43,436,274","13,536,143"
緯創,3231,電腦及周邊設備業,23449.8,206711.81,nan,20382.51,125333.04,nan,515589880.3,191083900,324505980,nan,nan,433535105.9,209706550,223828560,nan,nan,5170060,12.76%,本欄先以nan處理,4090200,8.93%,本欄先以nan處理,42143.98,41142.08(非有害),1001.9,90.40%,39295.1,38251.60(非有害),1043.5,95.30%,"845,011,844","16,845,375","-16,265,976","862,082,848","19,234,277","-16,597,400"
英業達,2356,電腦及周邊設備業,7122,125799,583365,7142,93758,664446,194774600,nan,nan,nan,nan,189161100,nan,nan,nan,nan,1307100,1.39%,本欄先以nan處理,1081600,1.76%,本欄先以nan處理,23547.19,2912.787403,602.808064,nan,25766.61,2471.017899,724.041741,nan,"508,294,198","10,345,705","2,809,908","519,732,048","7,699,184","-3,122,727"
華碩,2357,電腦及周邊設備業,50.9,20379,nan,93.98,17161,15660.1008,nan,nan,38300000,nan,nan,nan,nan,nan,nan,nan,nan,nan,本欄先以nan處理,nan,nan,本欄先以nan處理,nan,nan,nan,nan,nan,nan,nan,nan,"412,780,439","33,120,038","-4,586,630","535,238,735","59,088,730","-1,783,632"
